exportIFC_USDToIFC	导出IFC
Y2DP_LoadCheck	用于提供各层荷载简图，并对荷载做各种统计输出，便于用户校核
yjk_Edit_Param	成批修改构件的布置参数
Y2D_arrange_pick	点取一个已经布置好的构件把它布置到其它位置
Y2D_def_pick	点取一个已经布置好的构件截面定义替换原构件截面定义
Y2D_nodemergedistance	程序将不大于某距离值的节点归并到一起
y2dSpre_showcheckb	从模型中查看计算前处理数检报告
Y2D_showsection	显示构件的截面尺寸或偏心等信息
YJKtoIFC_expJCIFC	导出基础IFC
Y2D_arrange_SubBeam	布置次梁构件
Y2D_subbeam_paralleline	用平行线方式把墙连同它上面的轴线一起输入
Y2D_Edit_Move_subbeam	移动次梁
Y2D_Edit_Copy_subbeam	复制次梁
Y2D_beamY_add	梁加腋
Y2D_beamY_delete	删除梁腋
y2d_delete_custom	
y2d_delete_column	
y2d_delete_beam	
y2d_delete_brace	
y2d_delete_node	
Y2D_delete_grid	
TC2D_Set_ProjectModelTypeInCommon	隧道地沟模型类型设置
TC2D_Set_ModelConcreteGradeSetInCommon	隧道地沟模型材料设置
TC2D_Cal_SoilLayerImportAndCalCmd	地质资料土层导入
TC2D_Create_TunnelAndChannel2DInCommon	隧道地沟快速建模
TC2D_Arrange_Tunnel_OutsideFrameShowInCommon	初衬显示开关
TC2D_Arrange_FrameJCFactorSetInCommon	构件基床系数设置
TC2D_arrange_load_TunnelGlobalInfoSetInCommon	隧道模型总信息设置
TC2D_arrange_load_AutoSurrRockPressInCommon	围岩压力
TC2D_arrange_load_ChannelGlobalInfoSetInCommon	地沟模型总信息设置
TC2D_arrange_load_AutoChannelModelLoadInCommon	地沟模型自动荷载
TC2D_Set_ProjectModelType	隧道地沟模型类型设置
TC2D_Set_ModelConcreteGrade	隧道地沟模型材料设置
TC2D_Create_TunnelAndChannel2D	隧道地沟快速建模
TC2D_Arrange_Node	直接绘制节点
TC2D_Node_Divide	定数等分
TC2D_Node_Dividemeasure	定距等分
TC2D_Arrange_Lines	创建连续直线
TC2D_Arrange_TwoLines	点击两点形成直线段
TC2D_Arrange_ParalleLines	绘制一组平行的直线
TC2D_Arrange_RadiationLines	绘制一组辐射状直线
TC2D_Arrange_ArcThreePs	用三点创建圆弧
TC2D_Arrange_ArcCenterStartEnd	指定圆心、起点、终点的方式创建圆弧
TC2D_Arrange_ArcStartCenterAngle	指定起点、圆心、角度的方式创建圆弧
TC2D_Arrange_ArcStartCenterEnd	指定起点、圆心、终点的方式创建圆弧
TC2D_Arrange_BreakLines	绘制连续首尾相接的直线和弧线
TC2D_Arrange_Rectangle	输入矩形两对角点绘制一个与x、y轴平行的矩形
TC2D_Arrange_Circle	以圆心、半径方式绘制圆
TC2D_Arrange_MultiArc	交互，选择第一个圆心、第一个圆弧起点的方式创建多圆弧
TC2D_Arrange_OrthogonalGrids	对话框方式建立一个正交轴网
TC2D_Arrange_ArcGrids	对话框建立一个弧线轴网
TC2D_ImportDwg	转Autocad平面图到模型
TC2D_Arrange_NameSingleAxis	逐根给轴线命名轴线号
TC2D_Arrange_NameAxisBatch	成批给轴线命名轴线号
TC2D_ShowAxises	显示或关闭轴线号
TC2D_ClearNodesAndGrids	清除本层平面上没有用到的网格和节点
