returnModelSpace	从族编辑器返回
ImportRevitFamily	从Revit中导入族
insertACadSketch	插入DWG文件
_UCS3D	三维工作基面
fm_selectPlan	选择平面
fm_impSat	导入Sat
fm_expSat	导出Sat
fm_drawfinish	完成绘图
_delete	删除
_part_delete	部分删除
_copy	复制
_move	移动
_Rotate	旋转
yjkRecastModel_CmdExplodeBlockRef	炸开
fm_Sphere	球体
fm_Cuboid	长方体
fm_Cylinder	圆柱体
fm_Cone	圆锥体
fm_Torus	圆环
fm_Extrude	拉伸
fm_Sweep	扫掠
fm_Revolution	旋转
fm_Loft	放样
fm_Hole	洞口
fm_Fillet	倒圆角
fm_Chamfer	倒直角
fm_ThickSolid	抽壳
fm_Draft	拔模
fm_Combine	合并
fm_booleanCut	偏移
fm_Split	切割
_clax	关闭坐标轴显示
UINew	新建一个结构模型文件
ObjectSnapSwith	对象捕捉开关
_redraw	重绘
OrthoSwith	正交开关
ObjectSnapTrackSwith	对象捕捉追踪开关
PolorSwith	极轴追踪开关
yjk_modify_zsxx	<HelpRef>模型输入\鉴定加固</HelpRef>         <RcImage Name="RCDATA_317" />       </MenuMacro>       <MenuMacro UID="ID_yjk_group">         <Command>yjk_group</Command>         <HelpString UID="XLS_0000">工作树
yjk_refresh_bot	自动探伸
yjk_transjws	<RcImage Name="RCDATA_OPEN" />       </MenuMacro>       <MenuMacro UID="ID_yjk_delete_jg">         <Command>yjk_delete_jg</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>模型输入\鉴定加固</HelpRef>         <RcImage Name="RCDATA_417" />       </MenuMacro>       <MenuMacro UID="ID_yjk_newjgzf">         <Command>yjk_newjgzf</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>模型输入\鉴定加固</HelpRef>         <RcImage Name="RCDATA_EDITSPLINE" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_open">         <Command>YJKRecastModel_Open</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>打开文件</HelpRef>         <RcImage Name="RCDATA_000" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_activeref">         <Command>YJKRecastModel_ActiveRef</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>激活衬图</HelpRef>         <RcImage Name="RCDATA_007" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_setparam">         <Command>YJKRecastModel_SetParam</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>设置参数</HelpRef>         <RcImage Name="RCDATA_301" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_basepoint">         <Command>YJKRecastModel_BasePoint</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>设置基点</HelpRef>         <RcImage Name="RCDATA_337" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_ShowElement">         <Command>YJKRecastModel_CmdShowElement</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>构件显示</HelpRef>         <RcImage Name="RCDATA_277" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_showlayer">         <Command>YJKRecastModel_ShowLayer</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>显示图层</HelpRef>         <RcImage Name="RCDATA_567" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_hidelayer">         <Command>YJKRecastModel_HideLayer</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>隐藏图层</HelpRef>         <RcImage Name="RCDATA_566" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_alllayer">         <Command>YJKRecastModel_AllLayer</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>恢复图层</HelpRef>         <RcImage Name="RCDATA_561" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_Showlocal">         <Command>YJKRecastModel_Showlocal</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>显示局部</HelpRef>         <RcImage Name="RCDATA_567" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_Hidelocation">         <Command>YJKRecastModel_Hidelocation</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>隐藏局部</HelpRef>         <RcImage Name="RCDATA_566" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_Showwhole">         <Command>YJKRecastModel_Showwhole</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>显示全部</HelpRef>         <RcImage Name="RCDATA_567" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_ShowModel">         <Command>YJKRecastModel_ShowHideModel</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>显示模型</HelpRef>         <RcImage Name="RCDATA_277" />       </MenuMacro>       <MenuMacro UID="ID_YJKRecastModel_HideModel">         <Command>YJKRecastModel_ShowHideModel</Command>         <HelpString UID="XLS_0000"/>         <HelpRef>隐藏模型</HelpRef>         <RcImage Name="RCDATA_566" />       </MenuMacro> 	  <MenuMacro UID="ID_YJKCAD_IMPORT_Undo">         <Command>yjkRecastModel_Undo</Command>         <HelpString UID="XLS_0000">撤销上一次操作
yjkRecastModel_Redo	恢复上一次操作
