XSteel_CraneArrange	<HelpRef>Construction drawing of steel structure\Crane beam verification</HelpRef> 				<RcImage Name="RCDATA_2747" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_QueryModifyBeam"> 				<Command>XSteel_QueryModifyBeam</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Query and modify beams</HelpRef> 				<RcImage Name="RCDATA_2744" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_ArrangeBreakRect"> 				<Command>XSteel_ArrangeBreakRect</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Arrange braking by box selection</HelpRef> 				<RcImage Name="RCDATA_2743" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_ArrangeBreak"> 				<Command>XSteel_ArrangeBreak</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Arrange braking by point seletion</HelpRef> 				<RcImage Name="RCDATA_2743" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_QueryModifyBreak"> 				<Command>XSteel_QueryModifyBreak</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Query and modify braking</HelpRef> 				<RcImage Name="RCDATA_2745" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_DeleteBreak"> 				<Command>XSteel_DeleteBreak</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Delete braking</HelpRef> 				<RcImage Name="RCDATA_2750" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_AutoCalc"> 				<Command>XSteel_AutoCalc</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Automatic calculation</HelpRef> 				<RcImage Name="RCDATA_2752" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_CalcResult"> 				<Command>XSteel_CalcResult</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Calculation sheet</HelpRef> 				<RcImage Name="RCDATA_2748" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_ShowSect"> 				<Command>XSteel_ShowSect</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Section display</HelpRef> 				<RcImage Name="RCDATA_2749" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_ShowForce"> 				<Command>XSteel_ShowForce</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Stress display</HelpRef> 				<RcImage Name="RCDATA_2751" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_QuerySingleBeam"> 				<Command>XSteel_QuerySingleBeam</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Single beam query</HelpRef> 				<RcImage Name="RCDATA_2746" /> 			</MenuMacro> 			<MenuMacro UID="ID_XSteel_BackTo3dModel"> 				<Command>XSteel_BackTo3dModel</Command> 				<HelpString UID="XLS_0000"/> 				<HelpRef>Construction drawing of steel structure\Return to Model</HelpRef> 				<RcImage Name="RCDATA_1968" /> 			</MenuMacro>       <MenuMacro UID="ID_yjk_FamilyReturn">         <Command>returnModelSpace</Command>         <HelpString UID="XLS_0000">Return from the family editor
ImportRevitFamily	Import families from Revit
insertACadSketch	Insert DWG
_UCS3D	3Dworking base plane
fm_selectPlan	Select the plane
fm_impSat	Insert Sat
fm_expSat	Export Sat
fm_drawfinish	Finsh drawing
_delete	Delete
_part_delete	Delete part
_copy	Copy
_move	Move
_Rotate	Rotate
yjkRecastModel_CmdExplodeBlockRef	Explode
fm_Sphere	Sphere
fm_Cuboid	Cuboid
fm_Cylinder	Cylinder
fm_Cone	Cone
fm_Torus</Command>LASHE
        <HelpString UID="XLS_0000">Doughnut</HelpString>
        <RcImage Name="RCDATA_DONUT" />
      </MenuMacro>
      <MenuMacro UID="ID_editor_Stretch">
        <Command>fm_Extrude	Stretch
fm_Sweep	Sweep
fm_Revolution	Rotation
fm_Loft	Loft
fm_Hole	Hole
fm_Fillet	Fillet
fm_Chamfer	Chamfer
fm_ThickSolid	Shell
fm_Draft	Draft
fm_Combine	Combine
fm_booleanCut	Offset
fm_Split	Sliper
_clax	Close Axis
UINew	Create A New Model
ObjectSnapSwith	Object Snap Switch
_redraw	Redraw
OrthoSwith	Ortho Switch
ObjectSnapTrackSwith	Object Snap Track Swith
PolorSwith	Polor Track Switch
yjk_modify_zsxx	<HelpRef>Model Input\Identify and reinforce</HelpRef>         <RcImage Name="RCDATA_317" />       </MenuMacro>       <MenuMacro UID="ID_yjk_modify_jgsytj">         <Command>yjk_modify_jgsytj</Command>         <HelpString UID="XLS_0000">Service conditions of reinforced components
yjk_jdjg_cjcopy	Copy the reinforcement information on the current standard layer to other standard layers
yjk_group	WorkTree
